severity,acc_float_stage1,acc_uint8_full,irreversible_gap
0,0.9333333333333333,0.9333333333333333,0.0
1,0.9416666666666667,0.9416666666666667,0.0
2,0.875,0.875,0.0
3,0.65,0.6333333333333333,0.01666666666666672
4,0.25,0.25,0.0
5,0.10833333333333334,0.10833333333333334,0.0
