severity,acc_none,acc_gain,acc_gamma,acc_clahe
0,0.9333333333333333,0.9333333333333333,0.925,0.6583333333333333
1,0.9416666666666667,0.9416666666666667,0.925,0.5333333333333333
2,0.925,0.9166666666666666,0.8916666666666667,0.35
3,0.6416666666666667,0.6583333333333333,0.625,0.19166666666666668
4,0.20833333333333334,0.2916666666666667,0.16666666666666666,0.08333333333333333
5,0.1,0.10833333333333334,0.10833333333333334,0.1
