severity,brightness_factor,accuracy,ci_low,ci_high,wilson_low,wilson_high,mean_cosine_to_clean,mean_logit_margin,margin_correct_only,participation_ratio,pr_ratio
0,1.0,0.9333333333333333,0.8833333333333333,0.975,0.8739486959472423,0.9658346931443219,1.0,5.798277854919434,6.134724140167236,43.35144834661439,1.0
1,0.75,0.9666666666666667,0.9333333333333333,0.9916666666666667,0.9174196624250338,0.9869624489043433,0.9441335201263428,5.99867582321167,6.180281162261963,43.64042906114628,1.0066659990739262
2,0.55,0.8916666666666667,0.8333333333333334,0.9416666666666667,0.8234463978282095,0.9355885884660892,0.8031461238861084,5.288144111633301,5.766087532043457,40.359638538046056,0.9309870852607399
3,0.38,0.625,0.5333333333333333,0.7166666666666667,0.5357695062385802,0.7064757021532172,0.5884214043617249,3.556368827819824,4.702305316925049,32.830487871655876,0.7573100582283044
4,0.25,0.225,0.15,0.3,0.15949154667065546,0.3075689948673903,0.31179460883140564,2.241011142730713,2.9965343475341797,23.982864466397917,0.5532194512774774
5,0.15,0.10833333333333334,0.05,0.16666666666666666,0.06441141153391097,0.17655360217179056,0.15873725712299347,3.013960361480713,3.341278553009033,16.324689950138715,0.3765661949657472
