arm,backbone_params_M,trainable_params_M,flops_G,latency_ms,throughput_img_per_s,acc_clean,acc_dark_mean
frozen_backbone,22.056576,0.0,11.034544512,42.76694000145653,23.3825473593842,0.9333333333333333,0.5633333333333334
lora_r4,22.351488,0.294912,,56.930688999273116,17.5652186470599,,
lora_r8,22.6464,0.589824,,50.62384200209635,19.753538262832553,,
lora_r16,23.236224,1.179648,,50.68854050114169,19.72832498456878,,
