block,cka_sev3,cka_sev5,drop_0_to_5
0,0.9321741537959471,0.82345869855779,0.17654130144221003
1,0.8642509021842261,0.6256042236180238,0.3743957763819762
2,0.8012186851229816,0.59903747520461,0.40096252479538996
3,0.6329373737339283,0.46624129400569375,0.5337587059943063
4,0.5378308361225663,0.32423104403723263,0.6757689559627673
5,0.5784761721623818,0.333129270244062,0.666870729755938
6,0.5768615707794407,0.26204645038690766,0.7379535496130923
7,0.5961895275601451,0.2633039729334014,0.7366960270665985
8,0.603977047350125,0.2583976051428573,0.7416023948571426
9,0.6381075148629518,0.21025213988037836,0.7897478601196216
10,0.5918202725211005,0.14253921775472495,0.8574607822452751
11,0.5428220248005123,0.1548040411197817,0.8451959588802183
