severity,acc_fixed,acc_adapted,recovered_gap
0,0.9333333333333333,0.9333333333333333,0.0
1,0.95,0.9333333333333333,-0.016666666666666607
2,0.9,0.8833333333333333,-0.01666666666666672
3,0.6166666666666667,0.6916666666666667,0.07499999999999996
4,0.23333333333333334,0.4583333333333333,0.22499999999999998
5,0.10833333333333334,0.31666666666666665,0.20833333333333331
