severity,accuracy,mean_cosine_to_clean
0,0.9833333333333333,1.0
1,0.9833333333333333,0.9497414827346802
2,0.925,0.799037516117096
3,0.6833333333333333,0.5199523568153381
4,0.36666666666666664,0.23850223422050476
5,0.10833333333333334,0.12903913855552673
