severity,probe,top1_class,top1_share,n_classes,entropy_ratio,accuracy
4,prior,frog,0.7166666666666667,10,0.5023188493325237,0.23333333333333334
4,balanced,frog,0.7083333333333334,10,0.5138970319998494,0.24166666666666667
5,prior,frog,0.9916666666666667,2,0.02093050933336514,0.10833333333333334
5,balanced,frog,0.9916666666666667,2,0.02093050933336514,0.10833333333333334
5,imbalanced_cat_x5,frog,0.9916666666666667,2,0.02093050933336514,0.10833333333333334
