severity,accuracy,mean_cosine_sim_to_clean
0,0.9133333333333333,1.0
1,0.9033333333333333,0.9461055994033813
2,0.8466666666666667,0.8092973828315735
3,0.6166666666666667,0.588232159614563
4,0.24666666666666667,0.30972427129745483
5,0.08666666666666667,0.16237753629684448
